DiemRenLuyenKey,SinhVienKey,KhoaKey,NganhKey,LopKey,HocKyKey,DiemYThucHocTap,DiemChapHanhNoiQuy,DiemHoatDongPhongTrao,DiemCongDong,DiemTongRenLuyen,XepLoaiRenLuyenKey
1,1,1,1,1,1,24,25,21,19,89,2
2,1,1,1,1,2,24,21,19,17,81,2
3,1,1,1,1,3,23,22,23,16,84,2
4,1,1,1,1,4,24,19,21,14,78,3
5,1,1,1,1,5,29,19,17,19,84,2
6,1,1,1,1,6,22,20,19,11,72,3
7,1,1,1,1,7,24,23,20,19,86,2
8,1,1,1,1,8,25,22,18,15,80,2
9,2,1,1,1,1,28,20,20,17,85,2
10,2,1,1,1,2,27,17,23,13,80,2
11,2,1,1,1,3,14,17,20,12,63,4
12,2,1,1,1,4,22,21,15,18,76,3
13,2,1,1,1,5,24,18,24,7,73,3
14,2,1,1,1,6,19,16,19,11,65,3
15,2,1,1,1,7,22,19,22,11,74,3
16,2,1,1,1,8,18,17,13,11,59,4
17,3,1,1,1,1,26,23,25,16,90,1
18,3,1,1,1,2,28,20,24,6,78,3
19,3,1,1,1,3,17,15,17,14,63,4
20,3,1,1,1,4,23,23,25,16,87,2
21,3,1,1,1,5,30,22,24,5,81,2
22,3,1,1,1,6,23,18,15,20,76,3
23,3,1,1,1,7,27,18,17,20,82,2
24,3,1,1,1,8,25,19,17,11,72,3
25,4,1,1,1,1,21,20,19,20,80,2
26,4,1,1,1,2,25,25,22,20,92,1
27,4,1,1,1,3,18,19,18,13,68,3
28,4,1,1,1,4,17,16,12,20,65,3
29,4,1,1,1,5,24,22,25,4,75,3
30,4,1,1,1,6,23,17,20,5,65,3
31,4,1,1,1,7,26,21,20,17,84,2
32,4,1,1,1,8,22,18,20,8,68,3
33,5,1,1,1,1,30,24,20,18,92,1
34,5,1,1,1,2,25,22,17,18,82,2
35,5,1,1,1,3,30,23,23,18,94,1
36,5,1,1,1,4,24,21,23,20,88,2
37,5,1,1,1,5,21,21,22,13,77,3
38,5,1,1,1,6,29,24,25,20,98,1
39,5,1,1,1,7,25,23,16,20,84,2
40,5,1,1,1,8,25,18,18,20,81,2
41,6,1,1,1,1,23,20,25,17,85,2
42,6,1,1,1,2,21,15,23,15,74,3
43,6,1,1,1,3,22,20,18,14,74,3
44,6,1,1,1,4,25,19,19,13,76,3
45,6,1,1,1,5,27,25,22,18,92,1
46,6,1,1,1,6,23,24,24,12,83,2
47,6,1,1,1,7,27,19,19,18,83,2
48,6,1,1,1,8,25,17,16,20,78,3
49,7,1,1,1,1,24,20,20,16,80,2
50,7,1,1,1,2,26,20,23,18,87,2
51,7,1,1,1,3,26,18,22,20,86,2
52,7,1,1,1,4,24,19,16,14,73,3
53,7,1,1,1,5,17,20,11,20,68,3
54,7,1,1,1,6,17,20,17,8,62,4
55,7,1,1,1,7,20,19,21,15,75,3
56,7,1,1,1,8,30,25,22,20,97,1
57,8,1,1,1,1,24,16,17,17,74,3
58,8,1,1,1,2,27,18,17,10,72,3
59,8,1,1,1,3,19,18,18,12,67,3
60,8,1,1,1,4,28,22,21,12,83,2
61,8,1,1,1,5,15,12,16,20,63,4
62,8,1,1,1,6,20,15,16,14,65,3
63,8,1,1,1,7,21,20,21,15,77,3
64,8,1,1,1,8,23,20,15,20,78,3
65,9,1,1,1,1,28,22,25,18,93,1
66,9,1,1,1,2,24,18,25,20,87,2
67,9,1,1,1,3,24,14,20,15,73,3
68,9,1,1,1,4,22,17,23,12,74,3
69,9,1,1,1,5,26,21,21,19,87,2
70,9,1,1,1,6,22,19,18,18,77,3
71,9,1,1,1,7,30,23,21,20,94,1
72,9,1,1,1,8,21,22,20,11,74,3
73,10,1,1,1,1,29,20,17,14,80,2
74,10,1,1,1,2,25,23,24,13,85,2
75,10,1,1,1,3,21,13,19,10,63,4
76,10,1,1,1,4,21,16,13,20,70,3
77,10,1,1,1,5,24,22,25,20,91,1
78,10,1,1,1,6,21,16,15,15,67,3
