KetQuaHocTapKey,SinhVienKey,KhoaKey,NganhKey,LopKey,MonHocKey,HocKyKey,GiangVienKey,DiemChuyenCan,DiemGiuaKy,DiemCuoiKy,DiemTongKet,DiemHe4,DiemChu,KetQua,SoTinChiDangKy,SoTinChiDat,SoTinChiKhongDat,LanHoc
1,1,1,1,1,1,1,1,7.6,8.5,8.1,8.1,3.0,B,Đạt,3,3,0,1
2,1,1,1,1,2,1,6,10.0,8.7,9.0,9.0,4.0,A,Đạt,3,3,0,1
3,1,1,1,1,3,1,3,9.0,8.7,8.4,8.6,4.0,A,Đạt,3,3,0,1
4,1,1,1,1,4,1,12,8.2,7.6,6.7,7.1,3.0,B,Đạt,2,2,0,1
5,1,1,1,1,5,2,3,9.0,5.4,9.0,8.3,3.0,B,Đạt,3,3,0,1
6,1,1,1,1,6,2,4,6.8,7.4,8.7,8.3,3.0,B,Đạt,3,3,0,1
7,1,1,1,1,7,2,9,6.7,7.2,7.5,7.4,3.0,B,Đạt,3,3,0,1
8,1,1,1,1,8,2,8,6.6,7.8,6.5,6.8,2.0,C,Đạt,3,3,0,1
9,1,1,1,1,9,3,7,8.1,9.0,6.6,7.2,3.0,B,Đạt,3,3,0,1
10,1,1,1,1,10,3,12,10.0,8.2,9.0,8.9,4.0,A,Đạt,3,3,0,1
11,1,1,1,1,11,3,2,8.7,7.9,8.0,8.1,3.0,B,Đạt,3,3,0,1
12,1,1,1,1,12,3,8,6.9,3.0,6.9,6.1,2.0,C,Đạt,3,3,0,1
13,1,1,1,1,13,4,12,8.4,8.6,8.1,8.2,3.0,B,Đạt,3,3,0,1
14,1,1,1,1,14,4,2,7.4,8.0,6.9,7.2,3.0,B,Đạt,3,3,0,1
15,1,1,1,1,15,4,6,9.0,8.3,8.4,8.4,3.0,B,Đạt,3,3,0,1
16,1,1,1,1,16,4,7,8.9,8.6,8.4,8.5,4.0,A,Đạt,3,3,0,1
17,1,1,1,1,17,5,3,8.8,9.0,6.8,7.5,3.0,B,Đạt,3,3,0,1
18,1,1,1,1,18,5,9,10.0,8.6,10.0,9.7,4.0,A,Đạt,3,3,0,1
19,1,1,1,1,19,5,8,9.1,9.9,7.4,8.0,3.0,B,Đạt,3,3,0,1
20,1,1,1,1,20,5,8,7.3,7.3,7.0,7.1,3.0,B,Đạt,3,3,0,1
21,1,1,1,1,21,6,7,8.8,8.3,7.7,8.0,3.0,B,Đạt,3,3,0,1
22,1,1,1,1,22,6,11,9.6,8.4,9.5,9.3,4.0,A,Đạt,3,3,0,1
23,1,1,1,1,23,6,6,3.4,1.7,1.7,1.9,0.0,F,Không đạt,3,0,3,1
24,1,1,1,1,24,6,4,8.2,6.4,6.7,6.8,2.0,C,Đạt,2,2,0,1
25,1,1,1,1,25,7,5,10.0,8.7,9.1,9.1,4.0,A,Đạt,3,3,0,1
26,1,1,1,1,26,7,8,10.0,9.3,9.4,9.4,4.0,A,Đạt,2,2,0,1
27,1,1,1,1,27,7,6,8.7,8.8,8.1,8.3,3.0,B,Đạt,4,4,0,1
28,1,1,1,1,28,7,11,9.2,8.0,7.9,8.1,3.0,B,Đạt,2,2,0,1
29,1,1,1,1,29,8,12,9.8,8.2,8.4,8.5,4.0,A,Đạt,6,6,0,1
30,1,1,1,1,30,8,11,9.0,8.3,8.8,8.7,4.0,A,Đạt,2,2,0,1
31,2,1,1,1,1,1,1,8.4,8.0,7.5,7.7,3.0,B,Đạt,3,3,0,1
32,2,1,1,1,2,1,3,10.0,7.7,9.3,9.0,4.0,A,Đạt,3,3,0,1
33,2,1,1,1,3,1,8,7.5,6.3,7.3,7.1,3.0,B,Đạt,3,3,0,1
34,2,1,1,1,4,1,1,8.0,8.2,7.6,7.7,3.0,B,Đạt,2,2,0,1
35,2,1,1,1,5,2,9,8.7,10.0,9.2,9.3,4.0,A,Đạt,3,3,0,1
36,2,1,1,1,6,2,7,2.7,2.6,1.4,1.8,0.0,F,Không đạt,3,0,3,1
37,2,1,1,1,7,2,7,8.1,9.3,9.2,9.1,4.0,A,Đạt,3,3,0,1
38,2,1,1,1,8,2,10,10.0,8.2,9.9,9.5,4.0,A,Đạt,3,3,0,1
39,2,1,1,1,9,3,8,8.1,7.3,8.1,7.9,3.0,B,Đạt,3,3,0,1
40,2,1,1,1,10,3,11,9.6,8.2,8.8,8.7,4.0,A,Đạt,3,3,0,1
41,2,1,1,1,11,3,11,4.0,4.9,3.2,3.6,0.0,F,Không đạt,3,0,3,1
