HoSoKey,SinhVienKey,KhoaKey,NganhKey,LopKey,HocKyGanNhatKey,SoHocKyDaHoc,GPATichLuyHienTai,DiemRenLuyenGanNhat,TongTinChiDangKy,TongTinChiDat,TongTinChiNo,TongSoMonRot,SoMonHocLai,SoLanCanhBao,XepLoaiHocTapKey,XepLoaiRenLuyenKey,CanhBaoKey,NhomNguyCo,TrangThaiTotNghiep
1,4,1,1,1,8,8,2.99,68,8,8,0,1,1,1,2,3,1,Trung bình,Chậm tiến độ
2,3413,5,10,48,8,2,3.19,79,10,10,0,0,0,0,2,3,1,Thấp,Đang học
3,3414,5,10,48,8,2,3.19,75,10,10,0,0,0,0,2,3,1,Thấp,Đang học
4,3415,5,10,48,8,2,3.05,76,10,10,0,0,0,0,3,3,1,Thấp,Đang học
5,3416,5,10,48,8,2,2.43,67,10,5,5,2,2,1,5,3,2,Trung bình,Đang học
6,3417,5,10,48,8,2,3.14,80,10,10,0,0,0,0,3,2,1,Thấp,Đang học
7,3418,5,10,48,8,2,2.67,72,10,5,5,2,2,1,5,3,3,Trung bình,Cảnh báo học vụ
8,3419,5,10,48,8,2,3.33,68,10,10,0,0,0,0,2,3,1,Trung bình,Đang học
9,1851,2,6,27,8,4,2.27,63,11,11,0,1,1,2,5,4,2,Trung bình,Đang học
10,1,1,1,1,8,8,3.16,80,8,8,0,1,1,1,1,2,1,Thấp,Tốt nghiệp
11,2,1,1,1,8,8,2.74,59,8,8,1,3,3,3,3,4,1,Trung bình,Tốt nghiệp
12,3421,5,10,48,8,2,3.05,97,10,10,3,1,1,1,2,1,1,Trung bình,Đang học
13,3422,5,10,48,8,2,2.95,80,10,10,0,0,0,0,4,2,1,Thấp,Cảnh báo học vụ
14,3423,5,10,48,8,2,2.62,76,10,7,3,1,1,1,3,3,2,Trung bình,Đang học
15,3424,5,10,48,8,2,3.05,78,10,7,3,1,1,1,4,3,2,Trung bình,Đang học
16,3,1,1,1,8,8,2.85,72,8,8,0,2,2,2,4,3,1,Thấp,Tốt nghiệp
17,2587,3,8,37,8,2,2.43,87,11,11,0,0,0,0,4,2,1,Trung bình,Đang học
18,2588,3,8,37,8,2,3.0,88,11,11,0,0,0,0,3,2,1,Thấp,Đang học
19,2589,3,8,37,8,2,2.62,83,11,9,2,1,1,0,4,2,1,Thấp,Cảnh báo học vụ
20,2590,3,8,37,8,2,3.0,82,11,11,0,0,0,0,3,2,1,Thấp,Đang học
21,2591,3,8,37,8,2,3.19,100,11,11,0,0,0,0,2,1,1,Thấp,Đang học
22,2592,3,8,37,8,2,2.71,100,11,8,3,1,1,1,4,1,2,Trung bình,Đang học
23,2577,3,8,37,8,2,3.1,95,11,11,0,0,0,0,3,1,1,Thấp,Đang học
24,2578,3,8,37,8,2,3.19,92,11,11,0,0,0,0,2,1,1,Thấp,Đang học
25,2579,3,8,37,8,2,3.0,81,11,11,0,0,0,0,3,2,1,Thấp,Đang học
26,2580,3,8,37,8,2,2.76,85,11,11,0,0,0,0,3,2,1,Thấp,Đang học
27,2581,3,8,37,8,2,3.43,92,11,11,0,0,0,0,2,1,1,Thấp,Đang học
