TongKetHocKyKey,SinhVienKey,KhoaKey,NganhKey,LopKey,HocKyKey,TongSoTinChiDangKy,TongSoTinChiDat,TongSoTinChiKhongDat,DiemTrungBinhHocKy,DiemTrungBinhTichLuy,DiemRenLuyen,XepLoaiHocTapKey,XepLoaiRenLuyenKey,CanhBaoKey,TrangThaiCanhBao,MucNguyCo,SoTinChiNoLuyKe,SoHocKyCanhBaoLienTiep
1,1,1,1,1,1,11,11,0,3.55,3.55,89,2,2,1,Không cảnh báo,Thấp,0,0
2,1,1,1,1,2,12,12,0,2.75,3.13,81,3,2,1,Không cảnh báo,Thấp,0,0
3,1,1,1,1,3,12,12,0,3.0,3.09,84,3,2,1,Không cảnh báo,Thấp,0,0
4,1,1,1,1,4,12,12,0,3.25,3.13,78,2,3,1,Không cảnh báo,Thấp,0,0
5,1,1,1,1,5,12,12,0,3.25,3.15,84,2,2,1,Không cảnh báo,Thấp,0,0
6,1,1,1,1,6,11,8,3,2.27,3.01,72,4,3,2,Cảnh báo nhẹ,Trung bình,3,1
7,1,1,1,1,7,11,11,0,3.45,3.07,86,2,2,1,Không cảnh báo,Thấp,0,0
8,1,1,1,1,8,8,8,0,4.0,3.16,80,1,2,1,Không cảnh báo,Thấp,0,0
9,2,1,1,1,1,11,11,0,3.27,3.27,85,2,2,1,Không cảnh báo,Thấp,0,0
10,2,1,1,1,2,12,9,3,3.0,3.13,80,3,2,2,Cảnh báo nhẹ,Trung bình,3,1
11,2,1,1,1,3,12,9,3,2.25,2.83,63,4,4,2,Cảnh báo nhẹ,Cao,6,2
12,2,1,1,1,4,12,12,0,2.5,2.74,76,3,3,1,Không cảnh báo,Trung bình,6,0
13,2,1,1,1,5,12,12,0,3.25,2.85,73,2,3,1,Không cảnh báo,Thấp,0,0
14,2,1,1,1,6,11,8,3,2.45,2.79,65,4,3,2,Cảnh báo nhẹ,Trung bình,3,1
15,2,1,1,1,7,11,11,0,2.45,2.74,74,4,3,1,Không cảnh báo,Thấp,1,0
16,2,1,1,1,8,8,8,0,2.75,2.74,59,3,4,1,Không cảnh báo,Trung bình,1,0
17,3,1,1,1,1,11,11,0,3.27,3.27,90,2,1,1,Không cảnh báo,Thấp,0,0
18,3,1,1,1,2,12,9,3,2.75,3.0,78,3,3,2,Cảnh báo nhẹ,Trung bình,3,1
19,3,1,1,1,3,12,9,3,2.0,2.66,63,4,4,2,Cảnh báo nhẹ,Cao,6,2
20,3,1,1,1,4,12,12,0,3.0,2.74,87,3,2,1,Không cảnh báo,Trung bình,4,0
21,3,1,1,1,5,12,12,0,3.5,2.9,81,2,2,1,Không cảnh báo,Thấp,0,0
22,3,1,1,1,6,11,11,0,2.73,2.87,76,3,3,1,Không cảnh báo,Thấp,0,0
23,3,1,1,1,7,11,11,0,3.18,2.91,82,3,2,1,Không cảnh báo,Thấp,0,0
24,3,1,1,1,8,8,8,0,2.25,2.85,72,4,3,1,Không cảnh báo,Thấp,0,0
25,4,1,1,1,1,11,11,0,3.45,3.45,80,2,2,1,Không cảnh báo,Thấp,0,0
26,4,1,1,1,2,12,12,0,3.25,3.35,92,2,1,1,Không cảnh báo,Thấp,0,0
27,4,1,1,1,3,12,12,0,3.0,3.23,68,3,3,1,Không cảnh báo,Trung bình,0,0
28,4,1,1,1,4,12,12,0,3.0,3.17,65,3,3,1,Không cảnh báo,Trung bình,0,0
29,4,1,1,1,5,12,12,0,3.0,3.14,75,3,3,1,Không cảnh báo,Thấp,0,0
30,4,1,1,1,6,11,8,3,1.91,2.94,65,5,3,2,Cảnh báo nhẹ,Trung bình,3,1
31,4,1,1,1,7,11,11,0,3.09,2.96,84,3,2,1,Không cảnh báo,Thấp,1,0
32,4,1,1,1,8,8,8,0,3.25,2.99,68,2,3,1,Không cảnh báo,Trung bình,0,0
33,5,1,1,1,1,11,11,0,3.45,3.45,92,2,1,1,Không cảnh báo,Thấp,0,0
34,5,1,1,1,2,12,12,0,3.75,3.61,82,1,2,1,Không cảnh báo,Thấp,0,0
35,5,1,1,1,3,12,12,0,3.0,3.4,94,3,1,1,Không cảnh báo,Thấp,0,0
36,5,1,1,1,4,12,9,3,2.25,3.11,88,4,2,2,Cảnh báo nhẹ,Trung bình,3,1
37,5,1,1,1,5,12,12,0,3.0,3.08,77,3,3,1,Không cảnh báo,Thấp,1,0
38,5,1,1,1,6,11,11,0,3.55,3.16,98,2,1,1,Không cảnh báo,Thấp,1,0
39,5,1,1,1,7,11,11,0,3.36,3.19,84,2,2,1,Không cảnh báo,Thấp,0,0
40,5,1,1,1,8,8,8,0,3.25,3.19,81,2,2,1,Không cảnh báo,Thấp,0,0
41,6,1,1,1,1,11,11,0,3.18,3.18,85,3,2,1,Không cảnh báo,Thấp,0,0
42,6,1,1,1,2,12,12,0,3.0,3.09,74,3,3,1,Không cảnh báo,Thấp,0,0
43,6,1,1,1,3,12,12,0,3.5,3.23,74,2,3,1,Không cảnh báo,Thấp,0,0
44,6,1,1,1,4,12,12,0,3.75,3.36,76,1,3,1,Không cảnh báo,Thấp,0,0
45,6,1,1,1,5,12,12,0,3.5,3.39,92,2,1,1,Không cảnh báo,Thấp,0,0
46,6,1,1,1,6,11,11,0,3.0,3.33,83,3,2,1,Không cảnh báo,Thấp,0,0
47,6,1,1,1,7,11,11,0,3.82,3.4,83,1,2,1,Không cảnh báo,Thấp,0,0
48,6,1,1,1,8,8,8,0,3.0,3.36,78,3,3,1,Không cảnh báo,Thấp,0,0
49,7,1,1,1,1,11,11,0,3.45,3.45,80,2,2,1,Không cảnh báo,Thấp,0,0
50,7,1,1,1,2,12,9,3,1.75,2.57,87,5,2,3,Cảnh báo trung bình,Trung bình,3,1
51,7,1,1,1,3,12,12,0,2.75,2.63,86,3,2,1,Không cảnh báo,Trung bình,3,0
52,7,1,1,1,4,12,12,0,3.75,2.91,73,1,3,1,Không cảnh báo,Thấp,0,0
53,7,1,1,1,5,12,12,0,3.0,2.93,68,3,3,1,Không cảnh báo,Trung bình,0,0
